x,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
44,237.693,213.91,179.441,126.271,78.5727,44,18.2772,3.15371,0.0390034,5.96575e-06,2.13478e-17
45,237.907,214.391,180.25,127.412,79.7647,45,18.9038,3.33596,0.0436417,7.46902e-06,3.74411e-17
46,238.116,214.863,181.044,128.537,80.948,46,19.5374,3.52439,0.0487112,9.30501e-06,6.48607e-17
47,238.321,215.326,181.824,129.647,82.1228,47,20.1779,3.71907,0.0542411,1.15376e-05,1.11041e-16
48,238.522,215.78,182.591,130.744,83.2894,48,20.8253,3.92006,0.0602623,1.42413e-05,1.87961e-16
49,238.719,216.225,183.346,131.826,84.4481,49,21.4795,4.12743,0.0668066,1.75025e-05,3.1473e-16
50,238.912,216.662,184.088,132.896,85.5989,50,22.1404,4.34125,0.0739076,2.14209e-05,5.21538e-16
51,239.101,217.092,184.819,133.953,86.7422,51,22.8079,4.56158,0.0816,2.6112e-05,8.55638e-16
52,239.287,217.514,185.538,134.997,87.8781,52,23.482,4.78848,0.0899199,3.17082e-05,1.39033e-15
53,239.469,217.928,186.246,136.03,89.0068,53,24.1626,5.02203,0.0989051,3.83616e-05,2.23837e-15
54,239.648,218.336,186.944,137.051,90.1285,54,24.8497,5.26228,0.108595,4.62462e-05,3.57174e-15
55,239.824,218.737,187.631,138.06,91.2434,55,25.5431,5.5093,0.119029,5.55604e-05,5.65071e-15
56,239.997,219.132,188.308,139.059,92.3516,56,26.2429,5.76315,0.13025,6.65302e-05,8.86618e-15
57,240.167,219.52,188.976,140.047,93.4532,57,26.949,6.02389,0.142303,7.94121e-05,1.38009e-14
58,240.334,219.902,189.635,141.025,94.5486,58,27.6613,6.29158,0.155231,9.44971e-05,2.13175e-14
59,240.499,220.278,190.284,141.992,95.6377,59,28.3797,6.56629,0.169083,0.000112114,3.26841e-14
60,240.66,220.649,190.925,142.95,96.7207,60,29.1043,6.84806,0.183906,0.000132633,4.97527e-14
61,240.82,221.014,191.557,143.898,97.7978,61,29.8349,7.13698,0.199751,0.000156472,7.5211e-14
62,240.976,221.373,192.181,144.837,98.8691,62,30.5715,7.43308,0.216669,0.000184101,1.12935e-13
63,241.131,221.728,192.797,145.767,99.9347,63,31.3142,7.73644,0.234716,0.000216045,1.6848e-13
64,241.282,222.077,193.405,146.689,100.995,64,32.0627,8.0471,0.253945,0.000252894,2.49767e-13
65,241.432,222.422,194.006,147.601,102.049,65,32.8171,8.36514,0.274414,0.000295306,3.68018e-13
66,241.58,222.762,194.599,148.505,103.099,66,33.5773,8.6906,0.296182,0.000344015,5.39056e-13
67,241.725,223.097,195.185,149.401,104.143,67,34.3433,9.02354,0.319311,0.00039984,7.85065e-13
68,241.868,223.428,195.764,150.289,105.181,68,35.115,9.36401,0.343862,0.00046369,1.13699e-12
69,242.01,223.754,196.337,151.169,106.215,69,35.8925,9.71208,0.3699,0.000536574,1.63781e-12
70,242.149,224.076,196.903,152.042,107.244,70,36.6756,10.0678,0.397493,0.000619611,2.34686e-12
71,242.286,224.394,197.462,152.907,108.268,71,37.4643,10.4312,0.426708,0.000714039,3.34576e-12
72,242.422,224.708,198.015,153.765,109.288,72,38.2586,10.8024,0.457617,0.000821227,4.74622e-12
73,242.556,225.019,198.562,154.616,110.302,73,39.0584,11.1814,0.490291,0.000942686,6.7005e-12
74,242.688,225.325,199.103,155.459,111.312,74,39.8637,11.5683,0.524805,0.00108008,9.41518e-12
75,242.818,225.628,199.639,156.296,112.318,75,40.6745,11.9631,0.561236,0.00123524,1.31694e-11
76,242.947,225.927,200.168,157.127,113.319,76,41.4907,12.3658,0.599663,0.00141018,1.8339e-11
77,243.074,226.222,200.692,157.95,114.316,77,42.3122,12.7766,0.640166,0.00160711,2.54275e-11
78,243.199,226.514,201.211,158.768,115.309,78,43.1392,13.1955,0.682829,0.00182846,3.51076e-11
79,243.323,226.803,201.724,159.579,116.297,79,43.9714,13.6225,0.727737,0.00207687,4.8274e-11
80,243.446,227.089,202.232,160.384,117.281,80,44.809,14.0577,0.774978,0.00235526,6.61128e-11
81,243.567,227.371,202.735,161.183,118.261,81,45.6518,14.5011,0.82464,0.00266679,9.01906e-11
82,243.686,227.65,203.233,161.976,119.238,82,46.4998,14.9529,0.876816,0.00301493,1.22569e-10
83,243.804,227.926,203.727,162.763,120.21,83,47.353,15.4129,0.931601,0.00340345,1.65954e-10
84,243.921,228.199,204.215,163.544,121.178,84,48.2113,15.8814,0.98909,0.00383647,2.23881e-10
85,244.037,228.469,204.699,164.32,122.143,85,49.0748,16.3583,1.04938,0.00431845,3.0096e-10
86,244.151,228.737,205.178,165.091,123.104,86,49.9433,16.8436,1.11258,0.00485426,4.03178e-10
87,244.264,229.001,205.653,165.856,124.061,87,50.817,17.3376,1.17879,0.00544918,5.38291e-10
88,244.376,229.263,206.124,166.616,125.015,88,51.6956,17.8401,1.24811,0.00610893,7.16312e-10
